,question_text,option_A,option_B,option_C,option_D,answer,explanation,option_E
277,Raj Kapoor received Dada Saheb Phalke Award in,1986,1987,1988,1989,1987,"Raj Kapoor received Dada Saheb Phalke Award in 1987. The Government of India honoured him with the Padma Bhushan in 1971 and the Dadasaheb Phalke Award in 1987 – the highest award for cinematic excellence in India. In 2001, he was honoured with ""Best Director of the Millennium"" by Stardust Awards. He was named ""Showman of the Millennium"" by Star Screen Awards in 2002.",
278,Oscar Awards are conferred annually by,Government of United States,Hollywood Foreign Press Association,"Academy of Motion Pictures, arts and sciences, USA",None of the above,"Academy of Motion Pictures, arts and sciences, USA","Oscar Awards are conferred annually by Academy of Motion Pictures, arts and sciences, USA. Academy Award, in full Academy Award of Merit, byname Oscar, any of a number of awards presented annually by the Academy of Motion Picture Arts and Sciences, located in Beverly Hills, California, U.S., to recognize achievement in the film industry.",
279,Robert Koch worked on,diabetes,malaria,cholera,tuberculosis,tuberculosis,Robert Koch worked on tuberculosis. German physician Robert Koch was one of the founders of bacteriology. He discovered the anthrax disease cycle and the bacteria responsible for tuberculosis and cholera. He received the Nobel Prize for Physiology or Medicine in 1905 for his research on tuberculosis.,
280,"In Air Force, Air Commodore has one rank higher than",Air Vice-Marshal,Air Marshal,Group Captain,Squadron Leader,Group Captain,"In Air Force, Air Commodore has one rank higher than Group Captain. Air commodore is a one-star rank and the most junior air officer rank, being immediately senior to group captain and immediately subordinate to air vice-marshal. It has a NATO ranking code of OF-6 and is equivalent to a commodore in the Royal Navy or a brigadier in the British Army or the Royal Marines.",
281,How much districts are there in Tamil Nadu?,25,28,30,33,33,There are 33 districts in Tamil Nadu.,
282,How much districts are there in Meghalaya?,5,7,9,11,11,Meghalaya currently has 11 districts.,
283,How many Dynes are there in 1 gram weight?,250,375,981,900,981,There are 981 dynes in one gram weight. Dyne is a CGS unit.,
284,"In big cities like Delhi, Kolkata, Mumbai, Chennai police is headed by a",Commissioner of Police,Inspector General of Police,Deputy Inspector General of Police,None of the above,Commissioner of Police,"In big cities like Delhi, Kolkata, Mumbai, Chennai police is headed by a Commissioner of Police. Police commissioners serve their communities by overseeing police departments, either as sworn officers or as civilians selected to sit on a board of police commissioners.",
285,Indian Institute of Petroleum is located at,Kolkata,Dehradun,New Delhi,Dhanbad,Dehradun,Indian Institute of Petroleum is located at Dehradun. Indian Institute of Petroleum is situated in Dehradun in Uttarakhand state of India. It is established in 1960.,
286,In which of the following team events India got a Gold Medal at the 2002 Asian Games?,Kabaddi,Hockey,4 x 200 m Relay,4 x 100 m Relay,Kabaddi,In Kabaddi India got a Gold Medal at the 2002 Asian Games. Jagdish Kumble is an Indian professional kabaddi player and coach. He was member of the India national kabaddi team that won Asian games gold medals in 2002 which was held at Busan.,
287,"In which year during World War I, USA declared war on Germany, Britain defeated Turkey and captured Baghdad and Jerusalem?",1917,1918,1919,1920,1917,"In 1917 during World War I, USA declared war on Germany, Britain defeated Turkey and captured Baghdad and Jerusalem.",
288,"In 1947, Algeria became politically unified with France but the 80 percent population revolted against French domination",Hindu,Muslim,Christian,Jain,Muslim,"In 1947, Algeria became politically unified with France but the 80 percent population revolted against French domination Muslim.",
289,"In UNO, the new members are admitted to the General Assembly on the recommendation of ____ and ____ the members of the General Assembly should vote in favour.",Security Council; one-third,Security Council; two-third,International Court of Justice; one-third,International Court of Justice; two-thirds,Security Council; two-third,"In UNO, the new members are admitted to the General Assembly on the recommendation of Security Council and two-third of the members of the General Assembly should vote in favour.",
290,Squadron leader Rakesh Sharma was India's first man to go into space. He was ____ cosmonaut to be in space in the world.,12th,107th,139th,151st,139th,"Squadron leader Rakesh Sharma was India's first man to go into space. He was 139th cosmonaut to be in space in the world. Sharma progressed through numerous levels and in 1984, he was appointed as a squadron leader and pilot in the Indian Air Force. He was selected on 20 September 1982 to become a cosmonaut and go into space as part of a joint program between the Indian Air Force and the Soviet Interkosmos space program.",
291,Philology is the,study of bones,study of muscles,study of architecture,science of languages,science of languages,"Philology is the science of languages. Philology, traditionally, the study of the history of language, including the historical study of literary texts.",
292,The 2006 World Cup Football Tournament held in,China,France,Brazil,Germany,Germany,"The 2006 World Cup Football Tournament held in Germany. It was held from 9 June to 9 July 2006 in Germany, which won the right to host the event in July 2000.",
293,Satellite launching station is located at,Sriharikotta (Andhra Pradesh),Salem (Tamilnadu),Solapur (Maharashtra),Warangal (Andhra Pradesh),Sriharikotta (Andhra Pradesh),Satellite launching station is located at Sriharikotta (Andhra Pradesh). Satish Dhawan Space Centre (SDSC) or Sriharikota Range (SHAR) is a rocket launch centre operated by the Indian Space Research Organisation (ISRO). It is located in Sriharikota in Andhra Pradesh. Sriharikota Range was renamed in 2002 after ISRO's former chairman Satish Dhawan.,
294,The 'Black flag' signifies,truce,peace,protest,revolution/danger,protest,The 'Black flag' signifies protest.,
295,Republican party is,One of the important parties in USA,the political parties which has no definite principles,the political party which changes with the change in the times and circumstances in the country,All of the above,All of the above,"Republican party is One of the important parties in USA, the political parties which has no definite principles and is the political party which changes with the change in the times and circumstances in the country.",
296,Study of life in outer space is known as,endbiology,exobiology,neobiology,enterbiology,exobiology,"Study of life in outer space is known as exobiology. This branch of science deals with nature of possible life forms on other planets. It is understanding evolution, distribution, origin, and future of life beyond our Earth. There are a lot of ongoing researches going on about the potential of other life forms in the outer space.",
297,School of Aviation Medicine (Air Force) is located at,Jalahalli,Hyderabad,Bangalore,Allahabad,Bangalore,School of Aviation Medicine (Air Force) is located at Bangalore.,
298,Recession is,slowing down of economic activity over a limited period,"period that results from accumulation of unsold goods, owing to fall in demand","period during which unemployment may rise and demand and output may fall, leading to slump in trade",All of the above,All of the above,"Recession is slowing down of economic activity over a limited period, period that results from accumulation of unsold goods, owing to fall in demand and period during which unemployment may rise and demand and output may fall, leading to slump in trade.",
299,Sir Thomas Fearnley Cup is awarded to,"amateur athlete, not necessarily an Olympian",National Olympic Committee for outstanding work,a club or a local sport association for remarkable achievements,None of the above,a club or a local sport association for remarkable achievements,"Sir Thomas Fearnley Cup is awarded to a club or a local sport association for remarkable achievements. Fearnley became Honorary Member of the IOC 1951. In 1950, he founded the Fearnley Cup to honor an amateur sport club or a local amateur sport association based upon meritorious achievement in the service of the Olympic Movement. He originated the Fearnley Olympic Award in connection with the 1952 Winter Olympics in Oslo. The award is given for outstanding achievements by a Norwegian Olympic participant.",
300,Pythagoras was first to ____ the universal validity of geometrical theorem.,give,both,prove,None of the above,prove,"Pythagoras was first to prove the universal validity of geometrical theorem. He is known best for the proof of the important Pythagorean theorem, which is about right angle triangles.",
301,Soil acidity is generally corrected by,liming,proper irrigation,application of fertilizers,adding sodium hydroxide,liming,"Soil acidity is generally corrected by liming. Soil acidity can be corrected easily by liming the soil, or adding basic materials to neutralize the acid present. The most commonly used liming material is agricultural limestone, the most economical and relatively easy to manage source. The limestone is not very water-soluble, making it easy to handle.",
302,Oscar Awards were instituted in,1960,1929,1903,1964,1929,"Oscar Awards were instituted in 1929. The 1st Academy Awards ceremony, presented by the Academy of Motion Picture Arts and Sciences (AMPAS), honored the best films of 1927 and 1928 and took place on May 16, 1929, at a private dinner held at the Hollywood Roosevelt Hotel in Los Angeles, California.",
303,Small amounts of iodine are necessary in our diet to,prevent pellagra,stimulate pituitary gland,stimulate clotting of blood,compensate for underactive the thyroid gland,compensate for underactive the thyroid gland,"Small amounts of iodine are necessary in our diet to compensate for underactive the thyroid gland. When blood levels of TSH rise, the thyroid gland uses iodine to make thyroid hormones. However, when your body is low in iodine, it can't make enough of them.",
304,Queensland and Northern Territory Aerial Service is an International Airline of,Belgium,Afghanistan,Australia,East Africa,Australia,"Queensland and Northern Territory Aerial Service is an International Airline of Australia. Qantas, in full Qantas Airways Limited, Australian airline, the oldest in the English-speaking world, founded in 1920 as Queensland and Northern Territory Aerial Services Ltd. (from which the name Qantas was derived).",
305,Shaurya Chakra made up of bronze is awarded for,gallantry in the presence of enemy,gallantry otherwise than in the face of the enemy,most conspicuous bravery for some act of self sacrifice,None of the above,gallantry otherwise than in the face of the enemy,"Shaurya Chakra made up of bronze is awarded for gallantry otherwise than in the face of the enemy. The Shaurya Chakra is an Indian military decoration awarded for valour, courageous action or self-sacrifice while not engaged in direct action with the enemy. It may be awarded to civilians as well as military personnel, sometimes posthumously.",
306,Sushri Lata Dinanath Mangeshkar received Bharath Ratna in,2000,2001,2002,2003,2001,"Sushri Lata Dinanath Mangeshkar received Bharath Ratna in 2001. She is one of the best-known and most respected playback singers in India. She has recorded songs in over a thousand Hindi films and has sung songs in over thirty-six regional Indian languages and foreign languages, though primarily in Marathi, Hindi, and Bengali.",
307,Taoism is followed in,Japan,Iran and north-west India,"China, Taiwan, Nauru, Brunei, Singapore and Vietnam",worldwide,"China, Taiwan, Nauru, Brunei, Singapore and Vietnam",Taoism is a Chinese philosophy attributed to Lao Tzu which contributed to the folk religion of the people primarily in the rural areas of China and became the official religion of the country under the Tang Dynasty. Taoism is therefore both a philosophy and a religion. Taoism is also known as Daoism.,
308,The 2005 Wimbledon Women's Singles champion defeated which of the following to win the title?,Mary Pierce,Lindsay Davenport,Maria Sharapova,Serena Williams,Lindsay Davenport,"The 2005 Wimbledon Women's Singles champion defeated Lindsay Davenport to win the title. It was the longest Wimbledon women's final match in history, lasting two hours and 45 minutes.",
309,Sheikh Mujibur Rahman is a well known freedom fighter of,Bangladesh,Pakistan,Indonesia,Afghanistan,Bangladesh,"Sheikh Mujibur Rahman is a well known freedom fighter of Bangladesh. He is often called the father of Bengali nation. He served as the first President of Bangladesh and later as the Prime Minister of Bangladesh from 17 April 1971 until his assassination on 15 August 1975. He is considered to be the driving force behind the independence of Bangladesh. He is popularly dubbed with the title of ""Bangabandhu"" (Bôngobondhu ""Friend of Bengal"") by the people of Bangladesh. He became a leading figure in and eventually the leader of the Awami League, founded in 1949 as an East Pakistan-based political party in Pakistan.",
310,Shares with a fixed rate of dividend that entitle their holders to priority payment over those who hold ordinary shares of a company are called,bear,bull,shareholder,preference shares,preference shares,"Shares with a fixed rate of dividend that entitle their holders to priority payment over those who hold ordinary shares of a company are called preference shares. Preference shares are the shares which promise the holder a fixed dividend, whose payment takes priority over that of ordinary share dividends.",
311,Shankracharya was the founder of,Jainism,Buddhism,Arya Samaj,Advaitic philosophy,Advaitic philosophy,Shankracharya was the founder of Advaitic philosophy. He was an early 8th century Indian philosopher and theologian who consolidated the doctrine of Advaita Vedanta. He is credited with unifying and establishing the main currents of thought in Hinduism.,
312,Sculpture flourished during,Chinese civilization,Indus valley civilization,Egyptian civilization,None of the above,Indus valley civilization,"Sculpture flourished during Indus valley civilization. People from this civilisation created sculpture, seals, pottery, and jewellery from materials, such as terracotta, metal, and stone.",
313,Penicillin is widely used as,an antiseptic,an insecticide,an antibiotic,a disinfectant,an antibiotic,"Penicillin is widely used as an antibiotic. Penicillins are a group of antibacterial drugs that attack a wide range of bacteria. They were the first drugs of this type that doctors used. The discovery and manufacture of penicillins have changed the face of medicine, as these drugs have saved millions of lives.",
314,"Socrates was the wisest man of the ancient world and developed the method of enquiry and instruction, belonged to",Greece,Athens,France,China,Athens,"Socrates was the wisest man of the ancient world and developed the method of enquiry and instruction, belonged to Athens. Socrates was a classical Greek philosopher credited as one of the founders of Western philosophy, and as being the first moral philosopher of the Western ethical tradition of thought.",
315,Richter scale is used for measuring,density of liquid,humidity of air,velocity of wind,intensity of earthquakes,intensity of earthquakes,"Richter scale is used for measuring intensity of earthquakes. The Richter scale measures the maximum amplitude of seismic waves as they reach seismographs. This scale is expressed with a logarithmic scale. Thus, an earthquake measuring 7.0 on the Richter scale would be 10 times larger than an earthquake that measures 6.0.",
316,Prince Charles and Princess Diana of Britain announce their separation in,1990,1991,1996,1997,1996,"Prince Charles and Princess Diana of Britain announce their separation in 1996. In July 1996, the couple agreed on the terms of their divorce.",
317,Paleontology is a branch of science that deals with the,behavior of animals,formation of new stars,origin and growth of plants,forms of life as revealed by fossils of animals or plants,forms of life as revealed by fossils of animals or plants,"Paleontology is a branch of science that deals with the forms of life as revealed by fossils of animals or plants. Paleontology is the study of the history of life on Earth as based on fossils. Fossils are the remains of plants, animals, fungi, bacteria, and single-celled living things that have been replaced by rock material or impressions of organisms preserved in rock.",
318,Sir Humphry Davy was a British chemist who,invented the safety lamp for miners,discovered the anesthetic properties of nitrous oxide,both (A) and (B),None of the above,both (A) and (B),"Sir Humphry Davy was a British chemist who invented the safety lamp for miners and discovered the anesthetic properties of nitrous oxide. He was an English chemist who discovered several chemical elements (including sodium and potassium) and compounds, invented the miner's safety lamp, and became one of the greatest exponents of the scientific method.",
319,"Sonia Nazario of ""Los Angeles Times"" was awarded Pulitzer Prize in 2003 for",music,editorial writing,commentary,feature writing,feature writing,"Sonia Nazario of ""Los Angeles Times"" was awarded Pulitzer Prize in 2003 for feature writing. The story was awarded the 2003 Pulitzer Prize for feature writing and later became a book.",
320,Soil is formed from the parent rock material by,chemical decomposition,physical decomposition,biological decomposition,All of the above,All of the above,"Soil is formed from the parent rock material by chemical decomposition, physical decomposition and biological decomposition.",
321,The air we inhale is mixture of gases. Which of the following gases in the mixture is highest in percentage?,Ozone,Oxygen,Nitrogen,Carbon dioxide,Nitrogen,"The air we inhale is mixture of gases. Nitrogen of the following gases in the mixture is highest in percentage. Inhaled air is by volume 78.08% nitrogen, 20.95% oxygen and small amounts include argon, carbon dioxide, neon, helium, and hydrogen.",
322,Oxford university was founded in,1139 AD,1163 AD,215 BC,55 BC,1163 AD,"Oxford university was founded in 1163 AD. The University of Oxford is a collegiate research university in Oxford, England.",
323,The American General who led the revolt against the British and declared American independence was,George Washington,George Bush,Bill Clinton,None of the above,George Washington,The American General who led the revolt against the British and declared American independence was George Washington.,
324,Regular meetings of Trusteeship Council (UNO) are held,once a year,twice a year,thrice a year,four times a year,twice a year,"Regular meetings of Trusteeship Council (UNO) are held twice a year. The United Nations Trusteeship Council is one of the six principal organs of the United Nations, established to help ensure that trust territories were administered in the best interests of their inhabitants and of international peace and security.",
325,Radioactive substances can be produced readily in,a transistor,an atomic pile,an electron gun,a Wilson cloud chamber,an atomic pile,"Radioactive substances can be produced readily in an atomic pile. Radioactive substances are atoms that decay naturally. They can give off alpha particles, beta particles and gamma radiation. Unlike X-ray sources they cannot be turned off, so their control is more difficult.",
326,The 2002 Commonwealth Games were held in,UK,Canada,Malaysia,Australia,UK,"The 2002 Commonwealth Games were held in UK. The 2002 Commonwealth Games, officially known as the XVII Commonwealth Games and commonly known as Manchester 2002 were held in Manchester, England, from 25 July to 4 August 2002.",
327,Profit made when an asset is sold more than the price at which it was bought is called,capital,capital-gain,capitalism,None of the above,capital-gain,"Profit made when an asset is sold more than the price at which it was bought is called capital-gain. Capital gain is the profit one earns on the sale of an asset like stocks, bonds or real estate. It results in capital gain when the selling price of an asset exceeds its purchase price. It is the difference between the selling price (higher) and cost price (lower) of the asset.",
328,Plorence(Chadwick) is the associated place for which of the following sport?,Skiing,Tennis,Snooker,Racking Horse,Skiing,Plorence(Chadwick) is the associated place for Skiing.,
329,The 2012 Olympics Games were held in,Tokyo,Beijing,Sydney,London,London,"The 2012 Olympics Games were held in London. The 2012 Summer Olympics, formally the Games of the XXX Olympiad and commonly known as London 2012, was an international multi-sport event that was held from 27 July to 12 August 2012 in London, United Kingdom.",
330,"Rajiv Gandhi, Prime Minister of India, was assassinated in",1961,1971,1981,1991,1991,"Rajiv Gandhi, Prime Minister of India, was assassinated in 1991. The assassination of Rajiv Gandhi, former Prime Minister of India, occurred as a result of a suicide bombing in Sriperumbudur, Chennai, in Tamil Nadu, India on 21 May 1991.",
331,"Pan - American Highway, north-west Alaska to Southernmost Chile is the worlds",longest road,busiest road,highest road,None of the above,longest road,"Pan - American Highway, north-west Alaska to Southernmost Chile is the worlds longest road. According to Guinness World Records, the Pan-American Highway is the world's longest ""motorable road"".",
332,Raja Rammohan Roy,was the founder of the Brahmo Samaj,advocated widow remarriage and woman's education,"was a social reformer who tried to eradicate sati, purdah and child marriage",All of the above,All of the above,"Raja Rammohan Roy was the founder of the Brahmo Samaj, advocated widow remarriage and woman's education and was a social reformer who tried to eradicate sati, purdah and child marriage.",
333,South Indian temples have,tall towers with curving sides that taper at the top,gateway towers shaped like trapezoidal pyramids,Both A and B,None of the above,Both A and B,South Indian temples have tall towers with curving sides that taper at the top and gateway towers shaped like trapezoidal pyramids.,
334,South Africa joined the Commonwealth as 51st member in,May 1993,May 1994,May 1995,May 1996,May 1994,South Africa joined the Commonwealth as 51st member in May 1994. South Africa withdrew its membership from the Commonwealth in 1961 after it declared itself a Republic under the leadership of Prime Minister H.F Verwoerd. The country's move followed a storm of criticism for its racial policies by Commonwealth members.,
335,Recently lead free petrol was introduced in our country because,they are not needed now as anti-knock agents,they cause less pollution,they tower the efficiency of the engine,to reduce the cost of petrol,they cause less pollution,"Recently lead free petrol was introduced in our country because they cause less pollution. Worldwide studies have revealed that leaded petrol is responsible for 90 per cent of all airborne lead pollution. In India, petrol with a low lead content (0.15 gm/l instead of 0.56 gm/l) was introduced in the four metros in 1994.",
336,Rabindranath Tagore receive Nobel Prize in 1913 in the field of,peace,literature,physics,economy,literature,"Rabindranath Tagore receive Nobel Prize in 1913 in the field of literature. The Nobel Prize in Literature 1913 was awarded to Rabindranath Tagore ""because of his profoundly sensitive, fresh and beautiful verse, by which, with consummate skill, he has made his poetic thought, expressed in his own English words, a part of the literature of the West.""",
337,People who secretly indulge in anti-national or anti-government activities and help the enemy are called,Second column,Third column,Fourth column,Fifth column,Fifth column,"People who secretly indulge in anti-national or anti-government activities and help the enemy are called Fifth column. A fifth column is any group of people who undermine a larger group from within, usually in favor of an enemy group or nation. The activities of a fifth column can be overt or clandestine. Fifth column Refers to traitors or people who secretly indulge in anti-national or anti -government activities and help the enemy.",
338,Sulphur is not present in,coal,gypsum,iron pyrites,chlorapatite,chlorapatite,"Sulphur is not present in chlorapatite. Chlorapatite is formed in fluor-deficient environments, and found in calcium silicate marbles, in layered mafic intrusions and in diabases. It is known to replace triphylite in some granite pegmatites (Ptáček 2016). A monoclinic polymorph, chlorapatite-M is known.",
339,Oxygen was independently discovered by,Neils Bohr,William Ramsay,Joseph Priestley,Rutherford,Joseph Priestley,"Oxygen was independently discovered by Carl Wilhelm Scheele, in Uppsala, in 1773 or earlier, and Joseph Priestley in Wiltshire, in 1774, but Priestley is often given priority because his work was published first.",
340,Rise of the Chinese civilization along the banks of Hawang Ho took place in,2500 - 2000 BC,2700 - 2600 BC,2205 - 1122 BC,2000 - 1200 BC,2205 - 1122 BC,"Rise of the Chinese civilization along the banks of Hawang Ho took place in 2205 - 1122 BC. Chinese civilization refers to that period of China's history which began in the early 2nd millennium BCE, when a literate, city-based culture first emerged, to the end of the Han dynasty, in 220 CE.",
341,"Presently known as the European Union, the EEC was established in",1957,1958,1959,1960,1958,"Presently known as the European Union, the EEC was established in 1958. Denmark, Ireland and the United Kingdom join the European Union, raising the number of member states to nine. The organisation founded in 1957 which is now known as the European Union, originally had six members: Belgium, France, Germany, Italy, Luxembourg and the Netherlands.",
342,Steel is more elastic than Rubber because,it is a metal,its density is high,ratio of stress to strain is more,ratio of stress to strain is less,ratio of stress to strain is more,Steel is more elastic than Rubber because ratio of stress to strain is more. Steel is more elastic than rubber because steel comes back to its original shape faster than rubber when the deforming forces are removed.,
343,"The 2003 Right Livelihood Honorary Award honors ____, when the jury recognizes ""for his steadfast work over many years for a world free of nuclear weapons"".",New Zealand's former Prime Minister David Lange,Martin Green (Australia),Martin Almada (Australia),None of the above,New Zealand's former Prime Minister David Lange,"The 2003 Right Livelihood Honorary Award honors New Zealand's former Prime Minister David Lange, when the jury recognizes ""for his steadfast work over many years for a world free of nuclear weapons"".",
344,Tansen was,a great exponent of Indian classical music,one of the nine gems in the court of Akbar,both (A) and (B),None of the above,both (A) and (B),"Tansen was a great exponent of Indian classical music and one of the nine gems in the court of Akbar. Tansen, the magical musician, was one of the 'Navratna' (nine gems) at the court of the Mughal Emperor Akbar. He was born in Gwalior as a son of Mukund Misra, who was a poet. As a young child he learnt music from the legendary teacher of his time, Haridas Swami.",
345,Ornithology is the,study of smells,study of birds,study of bones,None of the above,study of birds,"Ornithology is the study of birds. An ornithologist is someone who studies ornithology the branch of science devoted to birds. Ornithologists study every aspect of birds, including bird songs, flight patterns, physical appearance, and migration patterns.",
346,Rabindranath Tagore is also known as,Netaji,Guruji,Gurudev,Mahamana,Gurudev,"Rabindranath Tagore is also known as Gurudev. He was popularly called as Gurudev and his songs were popularly known as Rabindrasangeet. Two songs from his Rabindrasangit canon are now the national anthems of India and Bangladesh: the Jana Gana Mana and the Amar Shonar Bangla. Rabindranath Tagore was born on May 7, 1861 in a wealthy Brahmin family in Calcutta.",
347,Raj Kapoor received Dada Saheb Phalke Award in,1986,1987,1988,1989,1987,"Raj Kapoor received Dada Saheb Phalke Award in 1987. The Government of India honoured him with the Padma Bhushan in 1971 and the Dadasaheb Phalke Award in 1987 – the highest award for cinematic excellence in India. In 2001, he was honoured with ""Best Director of the Millennium"" by Stardust Awards. He was named ""Showman of the Millennium"" by Star Screen Awards in 2002.",
348,Oscar Awards are conferred annually by,Government of United States,Hollywood Foreign Press Association,"Academy of Motion Pictures, arts and sciences, USA",None of the above,"Academy of Motion Pictures, arts and sciences, USA","Oscar Awards are conferred annually by Academy of Motion Pictures, arts and sciences, USA. Academy Award, in full Academy Award of Merit, byname Oscar, any of a number of awards presented annually by the Academy of Motion Picture Arts and Sciences, located in Beverly Hills, California, U.S., to recognize achievement in the film industry.",
349,Robert Koch worked on,diabetes,malaria,cholera,tuberculosis,tuberculosis,Robert Koch worked on tuberculosis. German physician Robert Koch was one of the founders of bacteriology. He discovered the anthrax disease cycle and the bacteria responsible for tuberculosis and cholera. He received the Nobel Prize for Physiology or Medicine in 1905 for his research on tuberculosis.,
